index,latitude,longitude,primary_fuel
21601,17.4343,103.7255,Solar
21602,14.6317,99.8899,Solar
21603,13.58,100.2,Solar
21604,14.8211,101.1153,Solar
21605,14.7771,101.0988,Solar
21606,14.802,100.908,Solar
21596,13.9752,100.1841,Solar
21607,13.815,101.605,Solar
21610,14.7882,104.8137,Solar
21612,14.0278,101.1862,Solar
21617,9.1178,99.2995,Solar
21618,15.078,103.8864,Solar
21619,14.6283,103.8105,Solar
21620,15.3723,103.69,Solar
21621,16.0266,99.8885,Solar
21622,16.0186,99.9874,Solar
21623,15.1183,101.7346,Solar
21624,14.4925,101.039,Solar
21608,13.925,101.52,Solar
21486,14.9286,100.1426,Solar
21595,14.244,100.128,Solar
21593,14.2223,100.1129,Solar
21561,16.4348,100.1423,Solar
21563,17.9447,104.0059,Solar
21564,14.7173,103.0661,Solar
21565,14.3981,99.8313,Solar
21567,14.8735,99.8311,Solar
21568,14.8735,99.8334,Solar
21569,14.7697,99.9505,Solar
21572,14.22,99.7341,Solar
21573,12.7251,99.9192,Solar
21574,17.0713,100.118,Solar
21594,14.2173,100.2778,Solar
21575,18.1196,100.1386,Solar
21577,16.637,99.602,Solar
21578,16.682,99.56,Solar
21579,16.678,99.567,Solar
21580,14.61,103.045,Solar
21584,13.82,100.4475,Solar
21586,15.7651,103.7389,Solar
21588,13.8,102.3,Solar
21590,14.1542,100.1377,Solar
21591,14.1078,100.1744,Solar
21592,13.9999,100.2002,Solar
21576,16.638,99.597,Solar
20302,37.641,-4.584,Solar
23049,52.7397,-1.1161,Solar
