maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
23.82,2.25,13.19,49506.97,8238.23,30451.26,27.4,14.69,21.68,110.0,solar
24.32,4.29,14.52,47203.45,16570.61,32271.77,14.51,10.06,12.03,2.0,solar
28.3,8.42,18.96,47076.41,23533.02,36418.19,17.58,7.26,10.64,574.0,solar
30.01,6.37,18.87,48628.77,17288.55,34989.92,18.73,8.48,13.51,155.0,solar
24.18,9.37,17.28,44512.34,23922.23,33235.02,22.46,16.05,18.96,26.0,solar
22.15,2.13,11.68,42568.38,9270.93,26265.08,32.49,15.51,23.63,48.0,solar
23.05,2.12,12.28,49795.13,8580.59,27524.84,37.75,21.02,27.55,88.0,solar
22.25,2.05,11.66,43584.47,9265.91,26354.15,35.8,20.87,26.56,33.0,solar
21.93,2.24,12.03,50400.0,10886.33,28265.77,34.85,17.95,25.41,1.0,solar
27.09,7.52,17.97,45466.41,23052.7,35312.03,26.55,18.31,21.73,58.0,solar
20.38,1.52,10.34,41806.33,8392.1,23588.28,32.94,18.63,24.36,121.0,solar
24.5,9.69,17.75,43757.72,23423.02,33590.98,24.18,13.48,19.17,204.0,solar
30.46,9.97,20.99,48662.11,27283.18,38436.2,19.23,8.1,13.56,640.0,solar
26.47,6.43,16.96,48077.61,23212.26,35425.4,24.84,13.81,19.04,88.0,solar
21.49,2.22,11.73,42641.56,10326.5,26745.61,35.39,18.65,25.83,63.0,solar
24.96,6.94,16.93,45071.36,17321.46,32915.38,24.48,14.22,19.28,155.0,solar
22.44,8.8,14.96,45237.45,25165.43,30245.18,19.29,7.6,14.1,200.0,solar
25.78,10.66,18.29,43566.06,21731.35,33092.48,23.7,13.13,19.08,164.0,solar
25.81,8.98,15.81,43476.35,19731.74,28922.88,11.34,5.03,9.16,147.0,solar
23.16,5.86,14.63,40775.22,15933.29,29506.16,25.15,17.3,20.81,287.0,solar
23.75,2.35,12.64,49983.57,10352.06,28754.83,37.97,20.92,27.93,19.0,solar
25.53,5.83,16.1,45922.65,20844.1,33805.45,21.88,14.45,17.1,414.0,solar
23.9,12.92,18.8,39863.3,16032.27,34728.82,31.67,15.19,20.28,166.0,solar
28.45,7.16,17.98,48046.46,20578.43,34920.98,20.08,12.12,15.87,884.0,solar
25.56,4.53,15.46,48435.79,17428.29,33580.97,18.25,12.93,15.72,116.0,solar
27.79,8.16,18.34,46800.0,24008.07,35808.58,20.97,13.05,15.42,14.0,solar
21.44,1.98,11.68,44039.77,8579.22,26671.57,37.58,18.98,27.45,118.0,solar
24.49,15.05,19.98,41150.86,27685.62,35548.48,20.63,11.81,15.61,80.0,solar
28.43,8.11,18.47,45963.48,24219.21,35713.66,24.5,16.08,20.07,276.0,solar
21.85,2.04,11.75,47798.28,8030.03,26290.45,39.47,21.82,28.63,16.0,solar
24.44,4.09,15.28,46256.61,14114.39,31442.0,29.86,19.11,24.26,392.0,solar
24.02,8.72,17.46,46332.3,23847.02,34183.05,18.73,10.86,14.11,271.0,solar
24.54,6.14,15.25,45275.75,15911.95,30601.17,26.71,17.85,22.63,8.0,solar
23.0,4.32,14.06,43233.53,12745.03,28778.05,18.71,8.78,15.09,102.0,solar
24.27,9.14,16.88,44327.44,24748.64,32800.24,22.6,16.86,19.44,9.0,solar
24.43,8.71,16.88,44605.59,21964.94,32758.78,22.26,14.43,18.21,70.0,solar
24.96,8.63,16.82,45039.66,23057.54,32832.86,23.29,15.37,18.84,47.0,solar
25.7,17.41,20.48,41585.96,29851.92,35823.88,24.45,4.83,12.74,21.0,solar
24.32,10.72,18.09,42269.76,24112.6,33240.36,23.45,9.64,18.21,42.0,solar
25.72,14.03,20.26,41474.5,17039.43,34263.16,31.96,16.93,20.53,573.0,solar
30.67,11.02,21.22,48529.69,29151.03,38891.58,20.41,10.23,15.91,916.0,solar
28.21,7.2,17.83,46800.0,20697.5,33942.33,21.68,12.47,15.64,455.0,solar
29.02,8.38,19.51,48852.31,23333.57,37354.81,14.24,8.14,11.26,59.0,solar
22.06,1.99,11.61,46911.71,7911.92,26054.31,36.11,17.19,26.27,98.0,solar
23.11,4.75,14.64,42532.77,12450.07,28922.09,24.46,14.15,19.23,460.0,solar
21.61,2.29,11.88,45801.15,9619.72,26651.84,34.8,19.65,25.83,94.0,solar
23.34,10.42,18.28,40257.71,7814.69,32247.7,26.11,11.32,15.64,342.0,solar
23.18,3.8,13.64,44084.96,11971.4,27907.21,21.75,10.33,17.81,102.0,solar
27.21,7.28,17.97,46478.21,24839.75,36247.06,25.14,14.71,18.63,24.0,solar
24.54,14.06,19.65,40801.63,26383.97,33755.37,23.87,11.98,16.86,123.0,solar
29.88,8.12,19.67,49044.54,21049.16,37178.75,26.81,7.71,15.74,59.0,solar
28.72,9.17,19.64,47449.68,24839.64,37068.62,21.6,10.12,14.05,1054.0,solar
23.08,5.81,14.59,40448.2,15984.98,29543.98,26.03,17.86,21.56,331.0,solar
21.92,1.9,11.59,49097.52,8868.63,26616.47,36.45,18.15,26.56,53.0,solar
