maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
24.25,12.33,18.38,40572.05,8186.88,31534.74,21.15,12.52,16.09,41.0,solar
24.51,2.33,12.95,49205.84,10016.78,29102.96,40.8,21.81,29.3,4.0,solar
22.92,2.2,12.04,48378.57,9679.36,27557.68,33.48,18.39,24.61,19.0,solar
20.39,1.62,10.87,41080.32,8280.25,25075.97,39.59,19.06,27.32,25.0,solar
20.49,2.18,11.06,39746.23,8993.72,24248.56,33.57,19.62,25.03,177.0,solar
28.39,8.25,18.54,46626.56,24541.5,36234.69,22.75,14.03,18.68,277.0,solar
25.5,2.92,14.97,49927.27,7969.77,31507.7,30.65,18.32,23.87,25.0,solar
20.23,1.65,10.65,42127.95,7633.96,24379.39,34.14,18.66,25.33,69.0,solar
21.67,2.46,11.96,46910.42,10796.54,27204.94,35.15,18.39,25.12,145.0,solar
21.2,1.55,10.69,43020.42,6950.74,24183.54,36.29,19.29,26.48,135.0,solar
26.19,14.3,20.33,41813.61,19278.83,34210.61,31.54,15.54,19.66,760.0,solar
27.29,6.69,17.72,48493.74,22367.29,36626.83,25.11,15.66,21.16,59.0,solar
16.85,1.41,9.64,34514.37,7376.63,22684.34,33.57,20.33,26.04,141.0,solar
26.47,5.2,15.97,49004.98,17428.59,33669.77,21.74,14.03,17.82,36.0,solar
27.21,7.28,17.97,46478.21,24839.75,36247.06,25.14,14.71,18.63,24.0,solar
21.13,1.97,11.41,47036.68,7810.37,25869.66,34.45,16.91,25.39,76.0,solar
25.16,2.51,13.58,49924.69,10760.79,29659.74,42.71,22.61,30.84,53.0,solar
22.82,2.44,12.41,46702.59,10687.1,26815.58,43.5,23.57,31.67,67.0,solar
27.62,9.19,19.19,46800.0,26898.92,37170.95,31.73,13.57,22.52,57.0,solar
19.72,1.53,10.5,38062.22,7291.05,23061.32,35.43,15.65,24.96,15.0,solar
21.8,1.84,11.3,44060.93,8577.92,26033.44,37.94,18.25,27.21,116.0,solar
21.26,1.91,11.66,43927.92,8010.14,26835.45,35.18,17.87,25.61,0.0,solar
22.86,2.09,11.79,48895.16,8812.74,27012.09,33.36,15.65,23.96,24.0,solar
19.82,1.8,10.94,38471.51,7787.95,24500.91,36.37,15.84,26.3,105.0,solar
21.94,2.46,12.17,46824.39,10780.9,28118.69,34.84,20.52,26.63,118.0,solar
28.09,6.82,17.81,46800.0,19718.74,34338.5,21.72,13.09,16.55,226.0,solar
22.84,11.72,18.31,38750.42,12650.06,34207.72,27.42,14.8,19.51,184.0,solar
28.53,7.74,18.29,48143.49,21745.41,35183.41,24.19,17.87,20.13,869.0,solar
21.94,1.9,11.28,45688.55,8063.88,25593.08,34.8,18.68,25.33,76.0,solar
21.74,2.16,11.74,45377.51,9357.85,26845.8,34.89,19.05,25.28,103.0,solar
21.26,1.84,11.38,40847.1,7320.06,25281.38,36.4,17.94,26.4,79.0,solar
21.08,1.86,11.1,42243.1,8823.64,24926.41,39.49,20.11,27.91,140.0,solar
22.77,2.15,12.24,48752.3,8347.79,27791.17,36.5,20.56,26.55,6.0,solar
22.9,12.98,18.6,39835.06,13794.15,32276.85,31.41,16.35,19.91,653.0,solar
27.95,8.13,18.49,46800.0,23304.54,35935.8,21.24,13.57,16.12,37.0,solar
22.48,2.33,12.13,48484.59,10044.53,27626.12,36.53,21.45,27.41,50.0,solar
23.88,9.94,18.42,41453.3,3653.66,32012.75,20.25,13.35,16.92,224.0,solar
28.1,7.55,17.87,46427.46,22395.1,34407.63,22.37,15.72,18.49,232.0,solar
22.69,2.32,12.64,46903.59,10674.96,28718.43,38.68,19.09,28.08,57.0,solar
22.43,2.36,12.5,46800.0,10526.54,28903.5,37.05,16.91,26.73,15.0,solar
24.52,10.0,18.56,42404.9,8893.76,32880.54,26.37,11.81,17.43,619.0,solar
21.24,1.92,11.48,41303.24,7349.28,25468.64,32.9,14.77,23.9,61.0,solar
22.99,13.01,18.59,38666.91,16643.61,34606.94,28.73,15.49,20.39,227.0,solar
23.2,6.05,17.33,40466.34,0.0,30627.91,10.32,6.4,8.34,65.0,solar
25.85,5.92,15.91,48844.56,19964.73,34638.11,22.6,9.11,16.45,93.0,solar
22.31,2.86,12.31,48538.35,17167.87,31915.61,13.32,8.53,11.1,575.0,solar
25.07,15.2,20.33,42157.02,35176.69,37889.48,17.24,12.11,14.5,6.0,solar
22.77,2.12,11.79,48366.18,9276.71,27080.24,34.77,16.68,25.42,92.0,solar
